batch_size,final_train_acc,final_test_acc,generalization_gap,avg_epoch_time,learning_rate,warmup_epochs
1,99.42666666666666,98.95,0.47666666666665947,36.33870583772659,0.000390625,0
8,99.51166666666667,99.15,0.3616666666666646,5.131421724955241,0.003125,0
16,99.49166666666666,99.16,0.33166666666666345,2.6387518843015036,0.00625,0
32,99.47833333333334,99.09,0.3883333333333354,1.4962874849637349,0.0125,0
64,99.515,99.2,0.3149999999999977,1.143900473912557,0.025,0
128,99.40333333333334,98.89,0.5133333333333354,1.0553562839825947,0.05,0
256,99.425,99.09,0.33499999999999375,1.0168568690617878,0.1,5
512,98.915,98.66,0.25500000000000966,1.1219881574312847,0.2,5
1024,98.435,98.69,-0.25499999999999545,1.1485841671625774,0.4,5
